Taxon,Cluster
29102_1#288,1
9803_8#43,1
19341_2#117,1
15682_2#67,1
5366_6#1,1
7001_1#17,1
24977_8#268,1
19084_8#176,1
31919_2#254,1
6680_7#18,1
16404_7#48,1
28042_2#94,1
12274_5#62,1
24977_8#207,1
18090_3#67,1
12299_2#58,1
21485_4#3,1
6807_2#3,1
17794_5#19,1
21127_1#95,1
23430_2#173,1
13415_8#47,1
14566_5#47,1
23430_2#147,1
11657_8#25,1
17794_4#23,1
19647_1#86,1
11658_2#75,1
12299_2#52,1
6259_3#15,1
21127_1#29,1
6259_4#4,1
24820_2#102,1
5366_7#11,1
6823_3#22,1
18090_2#179,1
14673_3#7,1
16404_7#40,1
12299_2#2,1
13415_6#23,1
17794_6#6,1
19647_1#38,1
19646_1#47,1
13091_2#41,1
14566_4#59,1
31958_2#159,1
17794_5#24,1
12274_5#9,1
9221_3#81,1
5468_2#10,1
6753_2#8,1
17794_5#89,1
14566_5#44,1
15873_6#5,1
17794_6#91,1
32139_3#51,1
6730_8#23,1
6731_6#19,1
12274_4#91,1
17794_4#84,1
11826_3#59,1
15682_1#84,1
6999_5#19,1
14913_3#94,1
6730_4#4,1
18814_1#62,1
17794_5#21,1
12274_5#52,1
5381_2#1,1
6972_3#19,1
17794_4#38,1
16399_8#78,1
23204_4#153,1
5381_2#5,1
17794_5#31,1
23430_2#101,1
27119_1#63,1
9803_8#47,1
12291_4#13,1
11679_1#13,1
31588_4#207,1
12274_5#70,1
11826_4#17,1
12291_3#48,1
19647_1#7,1
21523_1#134,1
5366_3#9,1
6259_3#13,1
6823_7#8,1
6938_7#3,1
17794_4#57,1
18814_1#2,1
5381_1#7,1
12299_2#88,1
17794_6#28,1
18814_2#10,1
15873_2#61,1
6187_4#10,1
17794_4#20,1
11511_8#37,1
6259_3#3,1
6791_6#18,1
6630_3#3,1
6187_4#16,1
27119_1#120,1
14936_6#72,1
17794_5#22,1
28177_3#269,1
7004_7#71,1
31919_2#267,1
16404_7#30,1
17794_5#25,1
11511_8#59,1
13154_3#67,1
19647_1#47,1
13091_2#2,1
6840_3#10,1
24861_1#343,1
9803_8#35,1
17794_4#77,1
12299_2#14,1
16404_7#31,1
17175_6#18,1
21053_8#169,1
6259_2#13,1
6680_7#9,1
17794_5#58,1
17175_7#65,1
5381_3#9,1
31664_1#146,1
19647_1#35,1
6807_2#6,1
19646_1#40,1
32036_8#45,1
24977_8#132,1
7068_4#5,1
19647_1#24,1
12274_5#22,1
27119_1#269,1
28420_2#365,1
32139_2#47,1
15378_2#24,1
17794_6#53,1
12291_3#45,1
5348_8#12,1
12274_5#27,1
14555_3#14,1
11657_4#95,1
17794_6#36,1
13091_2#76,1
31958_2#52,1
23164_8#157,1
17794_5#61,1
17794_4#70,1
27119_1#241,1
6775_1#23,1
32139_4#9,1
12290_2#17,1
5366_7#3,1
28177_3#367,1
5381_3#2,1
6830_3#15,1
6925_7#9,1
5366_6#2,1
28177_3#363,1
17794_6#68,1
17794_5#84,1
24977_8#171,1
24977_8#36,1
19647_1#21,1
19647_1#74,1
14410_7#64,1
28522_3#194,1
28177_3#111,1
6938_6#14,1
13091_1#80,1
22335_7#131,1
10868_6#5,1
27119_1#143,1
19647_1#67,1
32139_3#79,1
13091_3#53,1
24977_8#196,1
12274_6#48,1
19647_1#25,1
19647_1#78,1
13154_3#74,1
27119_1#247,1
24977_8#123,1
34746_4#259,1
17794_5#33,1
12291_1#48,1
11860_1#40,1
16404_8#47,1
28177_3#2,1
19646_1#73,1
24977_8#55,1
6259_1#17,1
12299_1#48,1
28177_3#167,1
23430_1#62,1
6999_5#17,1
16404_7#23,1
14672_3#33,1
28522_3#169,1
11679_1#27,1
31958_2#337,1
17794_6#32,1
31588_4#79,1
10868_5#12,1
6730_8#11,1
31958_2#333,1
7054_5#18,1
15191_6#50,1
6899_7#3,1
22335_7#17,1
17794_6#4,1
6823_6#24,1
7553_4#6,1
23430_3#127,1
11658_2#74,1
28177_3#59,1
6938_3#22,1
6259_4#13,1
16404_7#47,1
23430_3#119,1
6805_5#16,1
24775_1#16,1
12291_4#79,1
14673_3#10,1
17794_7#113,1
28042_2#198,1
6187_6#8,1
21127_1#39,1
6731_4#24,1
17794_6#12,1
28177_3#338,1
12274_6#18,1
17794_5#67,1
14936_4#80,1
7038_4#7,1
23204_4#74,1
19084_7#177,1
28042_2#266,1
7004_7#66,1
15682_1#56,1
32820_2#336,1
20925_3#77,1
5381_1#2,1
17175_7#81,1
11860_1#27,1
28420_2#342,1
31919_2#326,1
13091_1#50,1
11826_3#75,1
6925_3#8,1
6949_2#18,1
27119_1#246,1
31958_2#73,1
13091_6#36,1
24775_1#93,1
13091_1#45,1
22027_1#141,1
24977_8#249,1
6753_4#7,1
15682_4#65,1
17175_7#15,1
6899_4#1,1
28177_3#294,1
14566_8#85,1
18814_2#47,1
12754_4#62,1
5366_7#5,1
11860_1#71,1
28516_1#240,1
6999_7#22,1
24977_8#113,1
24977_8#155,1
17794_6#21,1
6952_4#21,1
15682_2#68,1
6289_8#13,1
13415_5#59,1
12291_1#59,1
5381_2#8,1
22841_3#164,1
24977_8#172,1
18090_2#63,1
11826_4#14,1
12299_1#61,1
34746_4#112,1
5468_1#5,1
10868_5#13,1
13415_7#83,1
15191_5#3,1
23430_1#104,1
12274_5#1,1
28522_3#356,1
27119_1#222,1
17794_6#67,1
7622_3#51,1
12299_2#92,1
14723_6#65,1
5749_6#8,1
17794_6#47,1
15191_5#12,1
15531_4#42,1
23430_2#45,1
24977_8#200,1
7622_2#7,1
23204_4#118,1
11826_3#17,1
17794_6#56,1
17794_6#58,1
6775_1#10,1
6840_3#24,1
18814_1#44,1
11826_3#4,1
15682_4#66,1
15940_3#10,1
11893_8#11,1
19647_1#87,1
17794_6#39,1
6823_1#15,1
16404_7#24,1
24775_1#62,1
23430_1#61,1
27119_1#42,1
15682_4#38,1
6983_5#14,1
23204_4#188,1
24977_8#256,1
14723_2#34,1
14673_2#29,1
19084_7#138,1
24775_1#2,1
6631_6#14,1
24820_2#113,1
18814_2#24,1
18814_1#30,1
18814_2#19,1
14412_2#61,1
24977_8#121,1
22335_7#71,1
5366_3#12,1
6187_4#15,1
24977_8#245,1
13710_1#47,1
34746_4#137,1
27119_1#180,1
23204_4#43,1
15682_3#44,1
7054_4#18,1
28042_2#336,1
23430_2#78,1
6983_3#69,1
15191_6#80,1
31919_2#203,1
24977_8#138,1
23430_2#128,1
12274_6#15,1
7011_4#22,1
17150_4#31,1
23204_4#102,1
11860_6#17,1
17794_5#74,1
11826_3#15,1
6823_1#5,1
15682_3#26,1
5366_5#6,1
12299_2#63,1
18814_1#47,1
22335_7#56,1
17175_5#18,1
21127_2#143,1
13091_3#33,1
28042_2#82,1
11657_4#53,1
29330_2#266,1
28157_4#370,1
10868_6#13,1
24977_8#168,1
6246_3#1,1
6736_7#13,1
13154_3#75,1
17794_6#13,1
6949_2#4,1
6775_1#13,1
11826_3#3,1
11511_8#57,1
19647_1#91,1
12299_2#19,1
5381_3#7,1
17794_6#45,1
19647_1#50,1
17794_6#31,1
23430_1#142,1
14673_1#48,1
6823_3#18,1
13414_2#91,1
6259_2#22,1
12274_6#43,1
10868_6#7,1
11860_1#11,1
19341_3#37,1
6983_8#77,1
17794_5#55,1
6972_4#1,1
17794_6#51,1
19646_1#48,1
23430_3#148,1
31919_2#136,1
21127_2#33,1
6840_1#13,1
23430_4#27,1
16404_7#32,1
18814_1#42,1
32139_3#161,1
11860_1#39,1
7011_5#24,1
14673_3#8,1
7001_1#8,1
11826_4#22,1
24977_8#167,1
6246_3#16,1
14673_3#5,1
17794_6#64,1
14566_8#75,1
11657_8#13,1
13470_1#40,1
14673_4#19,1
14412_1#69,1
28522_3#109,1
22335_8#100,1
24977_8#213,1
14913_6#63,1
32139_2#70,1
19084_7#77,1
6871_1#8,1
6710_7#4,1
13414_2#15,1
11860_1#54,1
6259_8#23,1
19787_5#35,1
28177_3#225,1
6823_5#4,1
10868_6#15,1
32139_2#26,1
18787_3#31,1
5366_8#5,1
20925_3#66,1
6289_7#2,1
19647_1#34,1
24861_1#174,1
23430_2#18,1
17794_5#50,1
10868_6#14,1
19646_1#86,1
21485_1#82,1
7038_6#1,1
23430_1#81,1
14410_5#78,1
17794_3#53,1
11860_1#6,1
14566_8#26,1
19341_2#164,1
12274_5#84,1
17794_6#60,1
6753_1#17,1
12291_4#16,1
18090_2#180,1
11511_8#38,1
22335_8#22,1
6999_4#11,1
21999_7#173,1
28042_2#155,1
19341_1#131,1
17794_6#44,1
23430_2#11,1
17794_4#83,1
24820_2#356,1
24977_8#148,1
18090_1#35,1
22335_7#107,1
23430_2#72,1
7622_3#54,1
17794_6#70,1
15682_4#30,1
13091_2#25,1
18814_2#46,1
19647_1#62,1
11657_8#14,1
13091_1#9,1
28177_3#185,1
6630_3#22,1
22335_8#54,1
5749_6#11,1
6736_8#9,1
17794_4#62,1
13091_1#13,1
27119_1#148,1
34746_4#301,1
13414_6#80,1
6187_6#7,1
6710_7#6,1
23204_4#54,1
19341_3#117,1
6710_7#1,1
6925_3#11,1
10754X48_140620_D00294_0106_AC4FB4ANXX_5,1
13710_2#34,1
7001_1#21,1
16404_7#43,1
11679_1#62,1
11860_1#33,1
23430_4#19,1
32139_3#113,1
6664_1#19,1
15608_4#70,1
17794_4#44,1
15841_4#33,1
28522_3#334,1
32036_8#89,1
19341_1#101,1
23430_2#154,1
22335_7#1,1
23430_3#95,1
12291_2#44,1
6899_5#17,1
5366_3#5,1
6680_4#23,1
6680_7#24,1
19341_2#69,1
17150_4#11,1
11657_4#40,1
22841_1#176,1
5348_8#10,1
12274_5#21,1
12299_1#80,1
15191_7#28,1
16399_8#45,1
25108_8#16,1
17794_5#75,1
6259_1#14,1
16399_8#29,1
11860_1#35,1
24977_8#57,1
11826_3#7,1
15191_6#63,1
5477_6#9,1
6925_4#6,1
27119_1#147,1
12299_2#40,1
6680_8#2,1
6983_2#14,1
15191_5#6,1
10754X130_140620_D00294_0106_AC4FB4ANXX_6,1
10868_6#87,1
16404_7#42,1
14673_4#30,1
5901_7#12,1
15682_4#32,1
13414_3#16,1
34746_4#335,1
21999_7#110,1
16404_7#1,1
9803_8#33,1
18090_1#40,1
12274_6#47,1
14673_2#57,1
24977_8#3,1
7001_3#8,1
12291_6#60,1
19647_1#14,1
12291_2#48,1
28177_3#118,1
24820_2#352,1
6791_6#24,1
15608_2#38,1
13414_8#22,1
13091_2#12,1
17794_5#86,1
18814_2#3,1
24977_8#108,1
23204_4#97,1
6899_7#4,1
24977_8#180,1
27119_1#185,1
13091_4#81,1
18814_2#66,1
6925_3#21,1
15191_6#56,1
19647_1#41,1
32820_2#180,1
7068_4#19,1
22667_7#134,1
19341_2#148,1
32820_2#22,1
14913_7#70,1
17794_6#15,1
27119_1#209,1
12837_1#22,1
5429_8#9,1
7335_3#76,1
19647_1#15,1
6289_7#1,1
14673_1#62,1
13154_3#49,1
15682_4#59,1
17794_4#87,1
6730_4#18,1
17794_4#95,1
13414_1#36,1
19647_1#63,1
19647_1#33,1
23430_1#114,1
13091_2#51,1
17175_6#10,1
12291_2#59,1
28042_2#93,1
7011_6#7,1
15378_2#59,1
17794_4#52,1
6938_6#16,1
18814_2#28,1
17175_5#20,1
6805_4#13,1
17150_6#33,1
12378_4#27,1
19647_1#90,1
18787_3#11,1
11860_1#24,1
17794_6#73,1
19647_1#37,1
6972_4#20,1
21999_7#176,1
22335_7#22,1
32820_2#161,1
6972_2#20,1
31588_4#270,1
5366_5#1,1
12291_2#11,1
23430_3#22,1
17794_6#7,1
6259_4#22,1
12299_2#77,1
6680_5#18,1
10868_6#1,1
15682_5#16,1
6899_7#20,1
22335_7#10,1
6714_8#24,1
14410_8#16,1
12274_5#49,1
13091_2#69,1
15608_4#65,1
13091_2#9,1
6823_5#21,1
23430_3#161,1
17794_6#37,1
15682_6#83,1
23430_3#23,1
24820_2#95,1
32820_2#148,1
32139_3#143,1
6259_3#4,1
11860_1#70,1
17150_6#62,1
19647_1#11,1
5366_5#11,1
27119_1#115,1
23430_2#50,1
14723_6#68,1
6731_3#14,1
5468_2#9,1
11658_2#60,1
24977_8#26,1
7092_6#20,1
7622_5#73,1
22335_8#67,1
15682_3#74,1
12299_2#89,1
6680_5#13,1
32139_2#99,1
19647_1#51,1
19341_1#120,1
19084_7#168,1
6680_7#17,1
14566_8#68,1
15682_1#27,1
7092_6#7,1
23430_2#48,1
19647_1#20,1
5381_1#4,1
28042_2#65,1
19084_8#25,1
21127_1#27,1
6673_8#20,1
5366_5#10,1
6949_4#22,1
7011_6#20,1
17150_6#38,1
24820_2#312,1
34746_4#209,1
6899_7#17,1
15682_4#50,1
13414_3#95,1
34746_4#251,1
17175_7#1,1
7054_4#24,1
6730_6#11,1
24820_2#97,1
11860_1#25,1
6569_5#20,1
14673_1#71,1
12274_6#24,1
24977_8#220,1
5366_6#11,1
19647_1#2,1
15608_5#73,1
17794_6#54,1
8016_3#42,1
6871_1#17,1
5381_2#7,1
24977_8#203,1
6736_6#14,1
17794_5#91,1
14913_7#67,1
16404_7#56,1
23430_2#2,1
13414_2#83,1
5381_2#2,1
17138_3#77,1
17150_6#89,1
19647_1#77,1
23430_3#100,1
19647_1#23,1
34746_4#352,1
24977_8#189,1
14936_6#47,1
18814_1#31,1
13154_2#85,1
17794_4#40,1
17794_6#77,1
17794_5#30,1
18090_2#61,1
17794_6#16,1
19647_1#61,1
15191_5#47,1
19341_3#14,1
12837_4#22,1
12291_4#61,1
21053_8#114,1
23430_3#170,1
12291_4#65,1
32139_3#365,1
21242_2#153,1
24977_8#153,1
15682_5#37,1
17794_4#81,1
24977_8#156,1
13091_6#82,1
11860_1#21,1
17794_6#65,1
11860_1#2,1
14410_5#3,1
24977_8#282,1
6899_7#15,1
6246_2#16,1
11657_4#30,1
31919_2#289,1
6840_3#7,1
6899_5#24,1
18814_2#69,1
19084_8#135,1
19647_1#43,1
12837_2#14,1
19647_1#8,1
6925_5#19,1
28177_3#290,1
17794_4#30,1
28177_3#286,1
6680_4#22,1
28042_2#308,1
34746_4#367,1
18814_2#40,1
19647_1#80,1
17175_5#29,1
24820_2#71,1
13710_1#45,1
6289_7#22,1
13091_2#43,1
12299_2#56,1
5366_6#10,1
6805_4#10,1
17794_4#43,1
6823_7#10,1
18623_5#44,1
12291_4#69,1
16404_7#53,1
7038_8#42,1
5366_7#2,1
19341_3#116,1
13415_5#66,1
13091_2#65,1
12299_1#41,1
17794_6#85,1
17794_5#47,1
6925_4#16,1
24977_8#49,1
18814_2#25,1
12291_1#52,1
15682_5#43,1
5366_8#11,1
23430_2#91,1
11511_8#33,1
24977_8#230,1
13154_3#43,1
16453_2#11,1
24977_8#4,1
23204_4#2,1
5366_3#1,1
31958_2#243,1
17794_4#86,1
17794_6#50,1
21127_1#99,1
12274_6#23,1
18814_1#1,1
11826_3#57,1
18623_5#43,1
28042_2#73,1
19647_1#46,1
5366_5#5,1
6999_2#15,1
19341_3#114,1
19084_7#128,1
27119_1#260,1
15608_3#66,1
32820_2#196,1
23430_3#89,1
16404_7#80,1
17175_5#80,1
11860_1#48,1
16404_7#20,1
11860_1#73,1
18814_2#2,1
24977_8#116,1
6714_7#13,1
29102_1#303,1
6730_7#18,1
5366_7#1,1
13154_2#18,1
12274_5#75,1
19084_7#147,1
24820_2#123,1
28042_2#296,1
16453_3#12,1
23204_4#68,1
6710_7#20,1
6925_3#4,1
5429_8#5,1
6840_3#2,1
23204_4#106,1
6823_2#19,1
17794_4#32,1
12291_1#11,1
6730_6#1,1
11826_3#18,1
17794_5#80,1
16399_8#61,1
14410_8#56,1
12162_1#3,1
6983_2#10,1
20925_3#9,1
10868_6#8,1
6925_7#18,1
34746_4#302,1
6731_4#4,1
12291_2#47,1
12837_5#57,1
23430_1#109,1
27119_1#217,1
23430_3#112,1
19341_2#73,1
12274_6#14,1
24977_8#131,1
12274_5#47,1
9803_7#78,1
6731_3#19,1
21127_1#18,1
14412_2#65,1
17794_6#34,1
5366_3#11,1
22841_1#24,1
27119_1#132,1
27119_1#268,1
14673_4#32,1
11826_4#21,1
34746_4#247,1
12274_5#54,1
15531_5#66,1
21485_1#15,1
31537_1#317,1
14673_1#84,1
13154_2#17,1
6823_1#18,1
17794_6#74,1
7038_4#4,1
27119_1#129,1
10868_6#12,1
34746_4#104,1
23430_3#166,1
15873_8#35,1
5381_1#8,1
17794_6#92,1
18814_2#37,1
21127_2#174,1
15531_7#4,1
6805_6#17,1
17794_6#88,1
22335_7#141,1
17794_5#35,1
17794_3#51,1
23204_4#180,1
28177_3#213,1
9803_8#36,1
17794_5#1,1
13091_2#7,1
13091_1#7,1
12299_1#6,1
6775_2#17,1
9803_7#53,1
17794_5#13,1
6680_4#1,1
21999_8#40,1
19341_3#112,1
12274_5#13,1
7004_5#21,1
11657_4#55,1
15682_1#81,1
16404_7#51,1
31958_2#79,1
5366_7#8,1
31588_4#86,1
19341_2#153,1
17794_6#23,1
19341_3#63,1
6736_6#10,1
15874_1#56,1
24977_8#127,1
15608_3#47,1
15531_4#87,1
17794_5#39,1
17794_5#9,1
23430_3#81,1
17794_5#36,1
12274_6#31,1
23430_3#102,1
23164_8#161,1
19084_8#178,1
13091_2#52,1
5348_8#11,1
19787_5#34,1
6840_1#16,1
17794_5#37,1
17794_6#90,1
5366_8#12,1
6972_5#8,1
16404_7#21,1
6730_5#17,1
6775_2#19,1
6949_2#16,1
27119_1#131,1
17794_3#84,1
17794_6#63,1
28420_2#130,1
12291_2#89,1
19647_1#26,1
24775_1#229,1
19341_2#74,1
17794_5#2,1
10868_6#2,1
24861_1#23,1
23430_3#91,1
12299_2#32,1
19084_7#115,1
23430_3#152,1
6791_6#4,1
6871_1#1,1
23204_4#179,1
6736_8#8,1
11679_1#58,1
6259_3#11,1
15873_8#61,1
24977_8#188,1
27119_1#133,1
17794_6#46,1
27119_1#281,1
18814_1#55,1
19647_1#4,1
23204_4#173,1
6680_4#24,1
6731_4#18,1
31664_1#272,1
14936_4#28,1
24977_8#226,1
5392_7#12,1
9803_8#1,1
31958_2#228,1
27119_1#8,1
11860_1#68,1
34746_4#298,1
6259_2#3,1
12291_4#27,1
11657_2#24,1
22335_7#28,1
6753_3#4,1
6570_3#20,1
12274_5#79,1
23430_1#180,1
6593_4#7,1
17175_5#27,1
17794_6#69,1
6949_4#24,1
11679_1#53,1
17794_6#87,1
9950_3#36,1
11657_4#45,1
17794_8#138,1
24977_8#218,1
19647_1#13,1
6807_2#24,1
19647_1#82,1
31919_2#360,1
24977_8#173,1
6755_3#9,1
12378_4#5,1
14673_2#34,1
15191_6#57,1
10868_6#3,1
24977_8#83,1
21127_1#41,1
27119_1#219,1
5468_2#6,1
23204_4#158,1
27119_1#204,1
19647_1#3,1
17794_5#57,1
22335_7#37,1
14723_6#54,1
32820_2#5,1
24977_8#98,1
17794_5#41,1
19647_1#55,1
6753_2#4,1
21999_8#86,1
12299_2#71,1
28522_3#174,1
14913_6#71,1
15682_3#61,1
15682_5#36,1
13154_3#78,1
6730_3#1,1
6736_6#16,1
27119_1#86,1
12274_4#82,1
20925_3#48,1
24977_8#204,1
11860_1#75,1
12291_6#13,1
6949_1#2,1
24977_8#31,1
15682_4#2,1
25108_8#10,1
7011_4#1,1
34746_4#158,1
19647_1#30,1
6823_5#10,1
28177_3#126,1
31958_2#241,1
17794_5#92,1
24820_2#99,1
17794_5#8,1
32139_2#256,1
21999_7#162,1
11826_3#12,1
6805_1#7,1
7011_4#17,1
6983_5#13,1
16404_7#44,1
23430_3#34,1
13154_3#27,1
6805_2#2,1
16404_7#26,1
17794_6#35,1
5366_7#12,1
24977_8#253,1
11826_3#40,1
34746_4#153,1
7054_5#6,1
18814_1#71,1
6259_1#2,1
10754X46_140620_D00294_0106_AC4FB4ANXX_5,1
17794_5#6,1
17794_5#48,1
24977_8#261,1
13091_4#21,1
12162_1#45,1
17794_5#44,1
13154_2#84,1
13091_4#56,1
19647_1#42,1
18090_1#51,1
11826_3#32,1
6972_3#13,1
6731_5#15,1
9803_8#42,1
17794_4#17,1
7622_2#38,1
17794_4#91,1
5366_6#5,1
6823_6#12,1
6289_8#3,1
24977_8#65,1
21127_1#87,1
13154_3#38,1
24775_1#73,1
6805_7#10,1
14673_2#88,1
7011_5#12,1
6755_4#4,1
14566_6#44,1
14913_3#89,1
17794_5#38,1
6871_1#16,1
6949_2#15,1
6925_6#13,1
13710_2#58,1
21053_8#142,1
6972_5#15,1
17138_5#78,1
6775_1#22,1
6259_1#9,1
12837_4#2,1
24977_8#33,1
12274_5#94,1
17794_4#34,1
17794_4#24,1
16399_8#87,1
24820_2#42,1
32139_2#189,1
24977_8#257,1
24977_8#225,1
6714_7#9,1
12299_2#25,1
6791_6#22,1
28522_3#289,1
24977_8#208,1
23430_1#154,1
15191_5#46,1
11826_4#54,1
15277_1#17,1
12274_6#28,1
12299_1#38,1
5381_1#11,1
12274_5#34,1
27119_1#182,1
12162_1#63,1
24977_8#71,1
6680_5#22,1
13091_2#35,1
18814_2#48,1
17794_5#43,1
21127_1#124,1
6289_7#3,1
6925_5#23,1
6823_2#18,1
24977_8#140,1
24977_8#96,1
6731_3#6,1
22335_7#11,1
15682_3#25,1
17794_5#62,1
12274_5#42,1
16404_7#36,1
11826_3#48,1
15682_4#15,1
6736_7#9,1
6730_1#6,1
19647_1#32,1
5429_8#7,1
19341_3#66,1
24861_1#352,1
13091_2#66,1
15531_4#58,1
6807_1#19,1
12299_1#57,1
6246_2#2,1
17794_4#33,1
13154_2#29,1
7011_6#14,1
12162_1#86,1
14673_2#76,1
19647_1#16,1
7011_6#22,1
6187_4#17,1
16404_7#4,1
6731_2#7,1
12837_5#69,1
12274_6#25,1
12291_4#58,1
6823_7#20,1
11860_1#47,1
27119_1#244,1
12274_5#51,1
12274_4#77,1
18814_2#56,1
15940_3#27,1
12274_5#82,1
5901_6#10,1
6823_3#14,1
5381_1#5,1
5381_2#9,1
13154_3#14,1
5381_3#11,1
17794_5#77,1
19341_3#115,1
24977_8#191,1
24977_8#274,1
23204_4#110,1
7011_3#6,1
12837_2#24,1
18814_2#51,1
24977_8#252,1
6805_3#10,1
7553_4#17,1
5366_3#10,1
17150_4#44,1
23204_4#100,1
12274_6#7,1
34746_4#120,1
6680_5#11,1
17794_3#52,1
21999_8#83,1
17794_5#59,1
6259_2#1,1
16043_2#61,1
13091_1#47,1
23430_1#85,1
6983_6#34,1
23430_4#24,1
15531_5#52,1
13091_1#44,1
11860_1#96,1
10754X163_140620_D00294_0106_AC4FB4ANXX_6,1
19647_1#9,1
15682_2#79,1
